classification,total_trades,total_wins,total_losses,total_pnl,avg_net_pnl,avg_netpnl_pct,win_rate_%
Extreme Fear,21400,7885,13515,715221.6145506131,33.421570773393135,0.4108031225020195,36.84579439252336
Extreme Greed,39992,18704,21288,2688140.64520785,67.21695952210067,3.977347202998071,46.769353870774154
Fear,61837,25447,36390,3264698.4929678454,52.79522766252964,1.492499541392393,41.15173763280884
Greed,50303,19681,30622,2087030.5809718317,41.4891871453359,1.939793014597454,39.12490308729102
Neutral,37686,14920,22766,1253546.4072461291,33.262920109487055,0.951116252843199,39.59029878469458
